keys,en,zh
SETTINGS_DEBUG_AUTO_ADVANCE_ENABLED,Auto-advance dialogue enabled,已啟用自動推進對話
SETTINGS_DEBUG_AUTO_ADVANCE_DISABLED,Auto-advance dialogue disabled,已停用自動推進對話
SETTINGS_DEBUG_GOD_MODE_ENABLED,God mode enabled,已啟用上帝模式
SETTINGS_DEBUG_GOD_MODE_DISABLED,God mode disabled,已停用上帝模式
ACHIEVEMENT_VIEWER_TITLE,ACHIEVEMENTS,成就
ACHIEVEMENT_VIEWER_CLOSE,CLOSE,關閉
ACHIEVEMENT_VIEWER_PROGRESS,Achievement Progress: %d/%d (%.1f%%),成就進度: %d/%d (%.1f%%)
ACHIEVEMENT_VIEWER_UNLOCKED,Unlocked:,解鎖於:
ACHIEVEMENT_VIEWER_SETUP_REQUIRED,⚠️ Setup Required,⚠️ 需要設定
ACHIEVEMENT_VIEWER_SETUP_MSG,The Achievement System is not loaded.\n\nTo enable achievements:\n\n1. Open Project → Project Settings in Godot\n2. Go to the Autoload tab\n3. Click Add\n4. Set the path to: res://1.Codebase/src/scripts/core/achievement_system.gd\n5. Set the Node Name to: AchievementSystem\n6. Click Add to confirm\n7. Restart the game,成就系統未載入。\n\n設定步驟：\n\n1. 在 Godot 中打開 Project → Project Settings\n2. 進入 Autoload 標籤\n3. 點擊 Add\n4. 選擇: res://1.Codebase/src/scripts/core/achievement_system.gd\n5. 設定名稱為 AchievementSystem\n6. 勾選 Enable\n7. 重新啟動場景。
TUTORIAL_TITLE,💡 Tutorial Tip,💡 教程提示
TUTORIAL_GOT_IT,Got it!,我知道了
TUTORIAL_SKIP_ALL,Skip all tutorials,跳過所有教程
TUTORIAL_ALL_SKIPPED,All tutorials skipped,教程已全部跳過
TERMS_TITLE,TERMS & CONDITIONS,條款與細則
TERMS_ACCEPT,ACCEPT & CONTINUE,接受並繼續
STORY_EXIT_CONFIRM,Are you sure you want to return to the main menu? Unsaved progress will be lost.,確定要離開故事場景嗎?未保存的進度將丟失。
STORY_EXIT_YES,"Yes, Exit","是的,離開"
STORY_CANCEL,Cancel,取消
STORY_CONFIRM,Confirm,確認
GLORIA_TITLE,💔 Saint Gloria,💔 聖母 Gloria
GLORIA_NEGATIVE_MESSAGE,You're being too negative...,你真是太負面了...
GLORIA_CONTINUE,...Continue,...繼續
PRAYER_COGNITIVE_DISSONANCE,⚠️ Cognitive Dissonance: Your mind forces you to add positive words!,⚠️ 認知失調：你的思維強迫你添加正能量詞彙！
PRAYER_REALITY_CRITICAL,⚠️ DANGER: Reality perception critically low! Prayer will cause catastrophic consequences!,⚠️ 危險：現實感知極度低下！禱告將帶來災難性後果！
PRAYER_REALITY_WARNING,"⚠️ WARNING: Reality perception is low, prayer effects may spiral out of control...",⚠️ 警告：現實感知偏低，禱告效果可能失控...
PRAYER_NOTICE_TITLE,Data Usage Notice,資料使用告知
PRAYER_NOTICE_MSG,"[b]Before You Pray:[/b]\n\n• If using cloud models, your text will be sent to third-party AI services for processing.\n\n• Local models process everything on your device.\n\n• Prayer responses may contain unpredictable satirical content.",[]開始祈禱前請先了解：[/b]\n\n• 若選擇雲端模型，您輸入的文字將會傳送至第三方 AI 服務處理。\n\n• 本地模型則在本機處理。\n\n• 祈禱回應可能包含不可預測的諷刺內容。
PRAYER_CANCEL,Cancel,取消
LOADING_GENERATING_STORY,Generating story...,生成故事中...
LOADING_CONSULTING_AI,Consulting AI oracle...,諮詢AI神諭...
LOADING_WEAVING_NARRATIVE,Weaving narrative threads...,編織敘事線索...
QUICK_SAVE,Quick Save,快速存檔
QUICK_LOAD,Quick Load,快速讀檔
QUICK_ACHIEVEMENTS,Achievements,成就
NIGHT_REFLECTION,Post-Mission Reflection,任務後的反思
NIGHT_HONEYMOON,Honeymoon Illusion,蜜月假象
NIGHT_PRAY_AGAIN,Pray to the Flying Spaghetti Monster again.,再向飛天意粉神祈禱吧。
STORY_SECTION_PLAYER_REFLECTION,## Player Reflection,## 玩家反思
STORY_SECTION_TEACHER_CONCERT,## Teacher Concert,## 老師演唱會
STORY_SECTION_HONEYMOON_RECORD,## Honeymoon Period Record,## 蜜月期紀錄
STORY_DILEMMA_CLASSIC,Classic Dilemma,經典困境
STORY_DILEMMA_SACRIFICE,Personal Sacrifice,個人犧牲
STORY_DILEMMA_DECEPTION,Noble Deception,高貴謊言
STORY_DILEMMA_RESOURCE,Resource Allocation,資源分配
STORY_DILEMMA_AUTHORITY,Authority Challenge,權威挑戰
STORY_PRAYER_KEYWORD,pray/prayer,祈禱
CHOICE_SELECT_ACTION,Select Your Action,選擇你的行動
CHOICE_HOW_TO_PROCEED,Choose how you want to proceed...,選擇你想要如何進行...
CHOICE_CANCEL,← Cancel,← 取消
CHOICE_PRAYER,[Prayer],[祈禱]
CHOICE_RADICAL,[Radical],[激進]
CHOICE_DIPLOMATIC,[Diplomatic],[外交]
CHARACTERS_TITLE,Character Profiles,角色介紹
BUTTERFLY_TITLE,Butterfly Effect Timeline,蝴蝶效應時間線
BUTTERFLY_SUBTITLE,Your choices echo through the story...,你的選擇在故事中迴盪...
BUTTERFLY_CLOSE,Close,關閉
ASSET_NO_TAGS,No tags,無標籤
ASSET_NO_DESCRIPTION,No description,無描述
UI_UNKNOWN,Unknown,未知
UI_REALITY,Reality,現實
UI_ENTROPY,Entropy,熵
UI_MISSIONS,Missions,任務
UI_PROTAGONIST,Protagonist,主角
AI_MISSION_GENERATION,=== Mission Generation ===,=== 任務生成 ===
AI_CONSEQUENCE_GENERATION,=== Consequence Generation ===,=== 後果生成 ===
AI_TEAMMATE_INTERFERENCE,=== Teammate Interference ===,=== 隊友插手 ===
AI_GLORIA_BOMBARDMENT,=== Gloria's Positive Energy Bombardment ===,=== Gloria 正能量轟炸 ===
AI_GENERATION_FAILED,AI generation failed:,AI 生成失敗:
AI_IMPORTANT_USE_CHINESE,"IMPORTANT: Respond in Traditional Chinese. All narrative, dialogue, and descriptions must be in Traditional Chinese.",重要：請使用繁體中文回答。所有敘事、對話與描述必須使用繁體中文。
AI_SESSION_DATA,=== Session Data ===,=== 會話數據 ===
AI_RECENT_EVENTS,=== Recent Events ===,=== 最近事件 ===
AI_CURRENT_PHASE,Current Phase:,當前階段:
AI_REQUEST_TIMEOUT,Request timed out. Retrying... (%d/%d),請求超時。正在重試... (%d/%d)
AI_REQUEST_FAILED,Request failed after %d retries. Please check network connection.,請求在 %d 次重試後仍然失敗，請檢查網路連線。
# Terms & Conditions - Full Text,,
TERMS_BODY_EN,"AI-Generated Content Disclaimer

This game uses Artificial Intelligence (AI) to generate dynamic story content, dialogue, and scenarios. By playing this game, you acknowledge and agree to the following terms:

1. AI Content Generation
   - Story elements, dialogue, and events may be generated by AI in real-time
   - AI-generated content may vary between playthroughs
   - Quality and coherence of content may vary

2. Content Unpredictability
   - AI may produce unexpected or unusual responses
   - The game's satirical and dark humor nature means content may be challenging
   - Players should be prepared for absurd or unconventional scenarios

3. API Usage & Privacy
   - The game may send prompts to external AI services (Google Gemini, OpenRouter)
   - Game context and player choices may be transmitted to these services
   - No personal information is collected or transmitted
   - AI providers may have their own Terms of Service and Privacy Policies

4. Simulation Mode
   - The game can run in ""Simulation Mode"" without external AI services
   - Simulation mode generates predetermined responses locally

5. Parental Guidance
   - This game contains satirical content and dark humor
   - Suitable for mature audiences who understand satire

6. Disclaimer
   - AI-generated content is provided ""as is""
   - Developers are not responsible for AI-generated content
   - Use at your own discretion

By clicking ""Accept"" or continuing to play, you acknowledge that you have read, understood, and agree to these terms.","AI 生成內容免責聲明

本遊戲使用人工智慧（AI）生成動態故事內容、對話和場景。通過遊玩此遊戲，您確認並同意以下條款：

1. AI 內容生成
   - 故事元素、對話和事件可能由 AI 實時生成
   - AI 生成的內容每次遊玩可能不同
   - 內容質量和連貫性可能有所差異

2. 內容不可預測性
   - AI 可能產生意外或不尋常的回應
   - 遊戲的諷刺和黑色幽默性質意味著內容可能具有挑戰性
   - 玩家應準備好面對荒謬或非傳統的場景

3. API 使用與隱私
   - 遊戲可能向外部 AI 服務（Google Gemini、OpenRouter）發送提示
   - 遊戲上下文和玩家選擇可能被傳輸到這些服務
   - 不會收集或傳輸個人信息
   - AI 提供商可能有自己的服務條款和隱私政策

4. 模擬模式
   - 遊戲可以在「模擬模式」下運行，無需外部 AI 服務
   - 模擬模式在本地生成預定的回應

5. 家長指引
   - 本遊戲包含諷刺內容和黑色幽默
   - 適合理解諷刺的成熟觀眾

6. 免責聲明
   - AI 生成的內容按「現狀」提供
   - 開發者不對 AI 生成的內容負責
   - 使用需自行判斷

點擊「接受」或繼續遊玩，即表示您已閱讀、理解並同意這些條款。"
﻿# Offline Story Texts,,
OFFLINE_STORY_NEON_TITLE,"Operation Neon Cacophony","霓虹喧囂行動"
OFFLINE_STORY_NEON_DESC,"Round 1: You strap glittering pylons onto the Horizon Cheerfire stage and promise the crowd that every cheer feeds the gratitude gauge while the broadcast director begs for more sparkle.\\n\\nRound 2: Gloria demands accelerated affirmations, so you splice the Empathy Override ramp into the ritual and let tactical fog conceal the bolts snapping loose.\\n\\nRound 3: The Council insists on a miracle, forcing you to narrate the tower's implosion as performance art while Donkey rides the Positive Energy meter into the red just to keep the feed alive.","第1回合：你把發光的電塔扎進 Horizon Cheerfire 舞台，向群眾保證每一句歡呼都能灌滿感謝儀錶，導播還在耳機裡哀求更多亮光。\\n\\n第2回合：Gloria 逼你加速肯定儀式，所以你把 Empathy Override 斜坡接進流程，再用戰術煙霧遮住那些快要扭斷的螺栓。\\n\\n第3回合：Council 要求奇蹟，你只能把塔樓崩塌當成行為藝術邊播邊講，Donkey 為了維持訊號只好把 Positive Energy 表硬壓到紅色。"
OFFLINE_STORY_NEON_OBJECTIVE,"Keep Horizon Cheerfire alive through three rounds so the Council can unveil another absurd policy while every collapse is spun as triumph.","撐過三輪 Horizon Cheerfire 讓 Council 又發一條荒謬政令，還得把每次倒塌都說成勝利。"
OFFLINE_STORY_NEON_COMPLICATION,"Every cheer heats the pylons, stresses the sensors, and cracks the scaffolding faster than the crowd can chant.","每句歡呼都在加熱電塔、折磨感測器，讓鷹架裂得比口號還快。"
OFFLINE_STORY_NEON_CHOICES,"Redirect the neon pylons to kiss the gilded truss and brand it immersive theatre; the crowd applauds while a column softens.\\nPrematurely trigger the confetti cannons so adhesive paste carpets the floor, forcing frantic hugs while regulators threaten to cut power.\\nLet Donkey push the meter into emergency red, triggering sprinklers and framing the collapse as a wet rave even as council members go pale.","把霓虹塔調去碰金桁架，宣稱這是沉浸式劇場；群眾鼓掌時柱子開始軟化。\\n提前引爆彩帶炮，黏膠鋪滿地面逼出一片混亂擁抱，監管單位準備斷電。\\n讓 Donkey 把儀錶推進紅區，灑水器大作，你只能把崩塌包裝成潮濕派對，看著議員臉色發白。"
OFFLINE_STORY_ASHEN_TITLE,"Operation Ashen Relay","灰燼回聲行動"
OFFLINE_STORY_ASHEN_DESC,"Round 1: The AI outage leaves an entire shipping lane swallowed by ash fog, and Gloria orders you to sing over the damaged signal tower anyway.\\n\\nRound 2: You and Donkey pry open the rusted console, jury-rig spare coils, and broadcast motivational jingles while synchronized applause parts the haze for ninety seconds at a time.\\n\\nRound 3: The fog thickens, every clap accelerates corrosion, and you must stage each failure as intentional spectacle before the drones mutiny.","第1回合：AI 當機讓整條航線沉進灰霧，Gloria 卻命你頂著壞掉的訊號塔唱到天亮。\\n\\n第2回合：你和 Donkey 撬開鏽蝕主機，用零件臨時接上線圈，一邊放激勵歌一邊帶動齊聲鼓掌，好讓濃霧勉強散開九十秒。\\n\\n第3回合：霧牆越堆越厚，每一下拍手都在加速腐蝕，你只能把所有失敗說成特別節目，免得無人機當場叛變。"
OFFLINE_STORY_ASHEN_OBJECTIVE,"Restart the ash-covered relay for three full rounds and sell the spectacle as a motivational breakthrough before the rescue team replaces you.","讓覆滿灰燼的轉播站跑完三輪，再把這場災難兜售成激勵突破，搶在救援隊把你換掉之前。"
OFFLINE_STORY_ASHEN_COMPLICATION,"Each motivational jingle thickens the fog and erodes the tower, so more applause means less visibility and faster collapse.","每首激勵歌都在增厚霧牆、侵蝕塔身，掌聲越大，視線越短，倒塌也越早。"
OFFLINE_STORY_ASHEN_CHOICES,"Convert the tower into a spotlight and claim the fog is immersive theatre; a crosswind sends lanterns screaming into the abyss.\\nLet Donkey chant gratitude into the open microphone so the fog condenses into glittery ash while security warns the supports are bending.\\nShort the console to play a lullaby, dropping Positive Energy but calming the fog—until the Council accuses you of sabotaging their spectacle.","把訊號塔改成探照燈，宣布大霧是沉浸式舞台；側風立刻把燈籠掃進深淵。\\n讓 Donkey 對著麥克風大喊感謝，霧氣結成亮粉灰，保全警告支架都在彎。\\n把主控台短接成催眠曲，Positive Energy 下降沒錯但霧海穩了——直到 Council 說你破壞節目。"

# Story Scene Strings,,
STORY_EXIT_CONFIRM_TEXT,Are you sure you want to leave the story scene? Unsaved progress will be lost.,確定要離開故事場景嗎？未保存的進度會消失。
STORY_EXIT_CONFIRM_TITLE,Confirm,確認
STORY_EXIT_CONFIRM_OK,"Yes, leave","是的，離開"
STORY_EXIT_CONFIRM_CANCEL,Cancel,取消
STORY_AI_UNAVAILABLE_TITLE,AI Service Unavailable,AI 服務暫時不可用
STORY_AI_UNAVAILABLE_DESC,AI cannot respond; please try again later.,AI 目前無法回應，請稍後再試。
STORY_AI_RATE_LIMIT_TITLE,AI Requests Paused,AI 請求過於頻繁
STORY_AI_RATE_LIMIT_DESC,Too many AI requests; wait a moment or switch to offline/return to menu.,AI 請求過於頻繁，請稍後再試，或改用離線劇情/返回主選單。
STORY_RETRY_BUTTON,Retry,再試一次
STORY_OFFLINE_BUTTON,Use Offline Story,使用離線劇情
STORY_HOME_BUTTON,Return to Menu,返回主選單
STORY_RETRY_UNAVAILABLE,Retry unavailable right now.,目前無法重試。
STORY_OFFLINE_UNAVAILABLE,Offline story unavailable.,暫時沒有離線劇情可用。
STORY_RETRY_FAILED,Retry failed to start.,重試啟動失敗。
STORY_OVERLAY_OFFLINE_FAILED,Offline story failed.,離線劇情載入失敗。
# Characters,,
CHAR_PROTAGONIST_NAME,Protagonist,主角
CHAR_PROTAGONIST_TITLE,Reluctant Positive Energy Disciple,被迫的正能量信徒
CHAR_PROTAGONIST_DESC,"[b]Core Concept:[/b]\nA realist exhausted by betrayal and disappointment, deeply skeptical of human nature. At the start of the story, he holds a profound mistrust of any form of 'god' based on reason and painful experience.\n\n[b]Background:[/b]\nIn a cooperation crisis, he clashed with others due to sticking to his principles. Gloria, instead of solving the problem, used flawless moral blackmail (PUA) to blame everything on his 'negative energy'. She successfully plunged him into immense guilt and self-doubt, making him believe his past interpersonal failures were due to not being 'positive' or 'tolerant' enough. On the verge of mental collapse, he was forced to accept Gloria's 'salvation' and the 'Positive Energy Doctrine' as the only way out.","[b]核心設定：[/b]\n主角是一個和你我一樣，經歷過無數次背叛與失望，對人性充滿懷疑的現實主義者。在故事開始時，他對任何形式的「神」都抱持著基於理性與痛苦經驗的深刻不信任。\n\n[b]背景故事：[/b]\n在一次合作危機中，主角因堅持原則而與他人產生衝突。Gloria得知後，非但沒有解決問題，反而用一套無懈可擊的道德勒索（PUA）話術，將所有問題的根源都歸咎於主角的「負能量」。她成功地讓主角陷入巨大的內疚與自我懷疑，讓他相信自己過往所有的人際失敗，都是因為自己不夠「正面」、不懂「愛與包容」。在這種精神崩潰的邊緣，主角被迫接受了Gloria的「救贖」，將信奉她那套極端簡化的「正能量法則」，當作是自我改造、避免再次傷害他人的唯一出路。"
CHAR_GLORIA_NAME,Gloria,聖光修女・Gloria
CHAR_GLORIA_TITLE,Guardian of the Greenhouse / Weaponized Innocence,溫室的守護者 / 武器化的天真
CHAR_GLORIA_DESC,"[b]Core Concept:[/b]\nShe built a perfect, sterile greenhouse for herself using the faith of 'Love and Tolerance', defining any reality that tries to burst this bubble as 'negative energy' that needs purification.\n\n[b]Background:[/b]\nShe considers her early life smooth sailing, a typical 'good girl'. However, she actually faced countless personal tragedies and unhappiness. Faced with this chaos, she chose not to understand, but to 'believe'. She treats the 'Positive Energy Law' and belief in the 'Flying Spaghetti Monster' as the only antidote to rebuild inner order. Her 'god' is merely a personification of her defense mechanism.\n\n[b]Personality & Behavior:[/b]\n- [b]Moral Blackmail:[/b] Never attacks directly, but implies 'your actions hurt me' to induce guilt.\n- [b]Topic Displacement:[/b] When facing specific problems, she redefines your 'negative emotional reaction' as the new, more serious problem.\n- [b]Double Standards:[/b] Tolerates 'weaklings' who don't challenge her beliefs, but cannot tolerate 'strong' logic that challenges her worldview.\n\n[b]Abilities:[/b]\n- [b]Holy Word - Conviction:[/b] Defines any anger/questioning as 'negative energy', inflicting Guilt/Self-Doubt debuffs.\n- [b]Divine Sanctuary:[/b] Enters invincibility when logically cornered, transferring all responsibility.\n\n[b]Weakness:[/b]\n- [b]Reality Shock:[/b] Fear of direct, unfiltered conflict.","[b]核心設定：[/b]\n她用「愛與包容」的信仰為自己建造了一座完美無菌的溫室，並將所有試圖戳破這個泡泡的現實，都定義為需要被淨化的「負能量」。\n\n[b]背景故事：[/b]\n她自我認為自己的的人生前半段順風順水，是個典型的「好女孩」。然而，事實上她曾遭遇無數次的個人悲劇感到不快樂。面對這種混沌，她沒有選擇去理解，而是選擇了「相信」。她將「正能量法則」和對「飛天意粉神」的信仰，當作重建內心秩序的唯一解藥因此並不認為以前曾經不開心過。這次「成功」的自我療癒，讓她變成了這套方法的狂熱信徒，堅信這是普渡眾生的唯一真理。她每日祈禱的「飛天意粉神」，並非真實存在的神，而是她這套防禦機制的人格化投射。\n\n[b]性格與行為模式：[/b]\n- [b]道德勒索：[/b] 從不直接攻擊，而是透過暗示「你的行為傷害了我」、「你不夠包容」來喚起對方的罪惡感，從而達到操控目的。\n- [b]議題置換：[/b] 當面對具體問題時，她會巧妙地將你的「負面情緒反應」定義為新的、更嚴重的問題，迫使你為自己的情緒辯護，而最初的問題則被完全忽略。\n- [b]雙重標準：[/b] 她的「包容」是有選擇性的。她會包容那些不會挑戰她核心信念的「弱者」，卻無法容忍那些用邏輯挑戰她世界觀的「強者」。\n\n[b]能力與弱點：[/b]\n- [b]能力【聖言術・定罪】：[/b] 能將對手的任何憤怒、質疑都定義為「負能量」，對目標造成「罪惡感」和「自我懷疑」的 Debuff。\n- [b]能力【神聖庇護】：[/b] 當被邏輯攻擊到無法回應時，可以啟動「交託飛天意粉神」技能，進入短暫的無敵狀態，免疫所有基於事實的傷害，並將所有責任轉移。\n- [b]弱點【現實衝擊】：[/b] 極度厭惡和懼怕直接的、未經過濾的衝突與現實。一旦被迫直面問題根源，她的整個防禦體系會暫時崩潰。\n\n[b]象徵意義：[/b]\n為了維護個人內心平靜，而拒絕面對現實複雜性的、精緻的自私。"
CHAR_DONKEY_NAME,Donkey,榮光騎士・Cosplayer Donkey
CHAR_DONKEY_TITLE,Self-Proclaimed Hero / Conceptually Bankrupt,自封的英雄 / 概念的破產者
CHAR_DONKEY_DESC,"[b]Core Concept:[/b]\nA cosplayer living in stale hero epics, believing the world will offer princesses and applause if he strikes a pose, yet lacking any skill to perform heroic deeds.\n\n[b]Background:[/b]\nExtremely 'positive', his understanding of the world comes entirely from clichéd knight novels and internet power fantasies.\n\n[b]Personality & Behavior:[/b]\n- [b]Big Talker:[/b] Bold in words, loves to flatter female characters, but extremely passive in reality, avoiding all responsibility.\n- [b]Patriarchal Narrative:[/b] All his ideas revolve around 'hero saves beauty', objectifying women. When the protagonist objects, Gloria demands 'tolerance'.\n- [b]Blame Shifting Master:[/b] Immediately blames others when things go wrong, portraying himself as an unrecognized hero dragged down by incompetent teammates.\n\n[b]Abilities:[/b]\n- [b]Epic Conception:[/b] Proposes grand but unworkable plans that appeal to Gloria.\n- [b]Clique Aura:[/b] Quickly rallies insecure members into an exclusionary circle.\n\n[b]Weakness:[/b]\n- [b]Universal Incompetence:[/b] Has no real skills beyond bragging.","[b]核心設定：[/b]\n一個活在陳舊英雄史詩裡的 Cosplayer，堅信只要擺出英雄的姿態，世界就會自動為他獻上公主與喝彩，卻對完成英雄之舉所需的任何技能都一竅不通。\n\n[b]背景故事：[/b]\n非常正能量，他對世界的理解，完全來自於那些最老套、最充滿性別刻板印象的騎士小說和網路爽文。\n\n[b]性格與行為模式：[/b]\n- 他言辭大膽，熱衷於向女性角色「獻殷勤」，吹噓自己。但在現實合作中，他極度被動，迴避所有責任。\n- [b]父權敘事：[/b] 他的所有創意，都圍繞著「英雄救美」的核心，充滿物化女性的思想。當主角反對時，Gloria就會出來要求主角「包容他」。\n- [b]甩鍋大師：[/b] 事情搞砸時，他會立刻將責任推給別人，將自己塑造成一個被無能隊友拖累的、懷才不遇的英雄。\n\n[b]能力與弱點：[/b]\n- [b]能力【史詩級構想】：[/b] 能提出聽起來極其宏大，但完全不具備可操作性的任務計劃。此技能對Gloria有極大的吸引力。\n- [b]能力【小圈子光環】：[/b] 能迅速拉攏團隊中同樣缺乏安全感的成員，形成排外的二人核心，破壞團隊溝通。\n- [b]弱點【萬能的無能】：[/b] 除了吹牛和幻想，不具備任何實質技能。\n\n[b]象徵意義：[/b]\n沉溺於過時幻想，卻無力應對現實挑戰的巨嬰心態。"
CHAR_ARK_NAME,ARK,秩序使徒・Cosplayer ARK
CHAR_ARK_TITLE,Diligent Destroyer / Architect of Black Boxes,勤奮的破壞者 / 黑箱的建築師
CHAR_ARK_DESC,"[b]Core Concept:[/b]\nA fanatic believer in 'order' and 'planning'. The order he creates wraps chaos in complex rules, leading to total collapse.\n\n[b]Background:[/b]\nComing from a chaotic environment, he craves control and certainty pathologically. He never doubts his plans, only those who disobey them.\n\n[b]Personality & Behavior:[/b]\n- [b]Fake Democracy:[/b] Uses commanding tones to assign tasks; meetings are just for others to 'ratify' his decisions.\n- [b]Black Box Operation:[/b] Works alone, never syncs progress, destroying team trust.\n- [b]Tactical Diligence, Strategic Laziness:[/b] Huge effort in execution details, but sloppy in critical strategic planning.\n\n[b]Abilities:[/b]\n- [b]Absolute Plan:[/b] Creates detailed-looking but logically flawed plans in no time.\n\n[b]Weakness:[/b]\n- [b]Communication Barrier:[/b] Hates open communication, prefers one-way commands.","[b]核心設定：[/b]\n一個對「秩序」和「計劃」有著宗教般狂熱的信徒，但他所創造的秩序，只是將混亂用更複雜的規則包裝起來，最終導致更徹底的崩潰。\n\n[b]背景故事：[/b]\n他來自一個極度混亂的環境，這讓他對「控制」和「確定性」產生了病態的渴望。他從不懷疑自己的計劃，只會質疑那些不肯服從計劃的人。\n\n[b]性格與行為模式：[/b]\n- [b]假民主：[/b] 他熱衷於用命令式語氣在網上安排任務，所謂的會議只是為了讓他人「追認」他早已定下的決策。\n- [b]黑箱作業：[/b] 他習慣獨自工作，從不同步進度或解釋思路，是團隊信任的粉碎機。\n- [b]戰術勤奮，戰略懶惰：[/b] 在具體執行層面投入巨大精力，但在最關鍵的戰略規劃和溝通上，卻極度草率。\n\n[b]能力與弱點：[/b]\n- [b]能力【絕對計劃】：[/b] 能在極短時間內，製作出一份看似詳盡，但充滿邏輯漏洞和不切實際目標的行動計劃。\n- [b]弱點【溝通障礙】：[/b] 極度厭惡與多人進行開放式溝通，更喜歡單向的指令傳達。\n\n[b]象徵意義：[/b]\n迷信程序和權威，卻喪失了溝通與變通能力的僵化思維。"
CHAR_ONE_NAME,One,被孤立的老朋友・One
CHAR_ONE_TITLE,Silent Witness / Voiceless Accomplice,沉默的證人 / 無聲的共犯
CHAR_ONE_DESC,"[b]Core Concept:[/b]\nThe only capable and principled person. His kindness and avoidance of conflict make him choose silence in a toxic environment, becoming a witness to injustice.\n\n[b]Background:[/b]\nKnew the protagonist early on. Loyal and reliable, but ostracized by others due to language/race.\n\n[b]Personality & Behavior:[/b]\n- [b]Passive Kindness:[/b] Never harms anyone, but fear of disrupting harmony leads to inaction when others are harmed.\n- [b]Dual Communication:[/b] Says 'I'm OK' publicly; complains honestly to the protagonist privately.\n- [b]Abilities:[/b]\n- [b]Reliable Execution:[/b] Always completes tasks well if instructions are clear.\n\n[b]Weakness:[/b]\n- [b]Curse of Silence:[/b] Chooses silence when facing injustice.","[b]核心設定：[/b]\n團隊中唯一真正有能力、有原則的正常人，但他的善良與不願衝突的性格，使他在有毒的環境中選擇了沉默，成為不公義的無聲見證者，以及主角內心最痛苦的道德拷問。\n\n[b]背景故事：[/b]\n遊戲初期就與主角相識，一同經歷試煉，建立了深厚的信任。他忠誠、可靠，但因語言或種族等原因，被其他隊友有意無意地排擠。\n\n[b]性格與行為模式：[/b]\n- [b]被動的善良：[/b] 他絕不會主動傷害任何人，但在別人受害時，也因害怕破壞和諧而選擇不作為。Gloria的「愛與包容」從來不會延伸到他身上。\n- [b]雙軌溝通：[/b] 公開場合為了維持和平會說「我OK」；私下卻會向主角誠實地表達不滿與痛苦。\n\n[b]能力與弱點：[/b]\n- [b]能力【可靠執行】：[/b] 無論任務多難，只要指令清晰，總能高質量地完成。\n- [b]弱點【沉默的詛咒】：[/b] 在面對團隊不公時，他會選擇沉默。這個弱點會被隊友利用，也讓主角的抗爭變得孤立無援。\n\n[b]象徵意義：[/b]\n在一個有毒的系統中，善良的沉默，客觀上如何成為了作惡的幫兇。"
CHAR_TEACHER_NAME,Teacher Chan,慰藉靈魂的歌者・陳老師
CHAR_TEACHER_TITLE,Soul-Soothing Singer / Comforter of the Apocalypse,末日的撫慰者
CHAR_TEACHER_DESC,"[b]Core Concept:[/b]\nA national idol singer and agent of the 'Bright Light God'. Her songs about 'letting go' are not medicine but a curse, accelerating the world's destruction.\n\n[b]Background:[/b]\nShe genuinely believes what she sings—that's the horror. She isn't a social worker; she is a world destroyer in sheep's clothing.\n\n[b]Role:[/b]\nAppears after mission failures to rationalize stupidity and brainwash the team with cognitive dissonance.","[b]核心設定：[/b]\n她是「亮光之神」信仰在人間的最高級代理人，一位國民級的偶像歌手。她的形象永遠白衣飄飄、充滿慈悲。她的歌聲溫柔而充滿磁性，歌詞永遠關於「放下」、「原諒」、「成長」和「一切都是最好的安排」。\n\n[b]真相：[/b]\n她不是一個壞人，她真心相信自己所唱的一切——這點才是最恐怖的地方。她的歌聲不止是安慰劑，而是一種詛咒。每一次演唱都是一場巨大的儀式，極大地強化著「虛無熵增」，加速著世界的毀滅。她不是心靈社工，她是披著社工外皮的世界毀滅者。"
CHAR_FSM_NAME,Flying Spaghetti Monster,飛天意粉神
CHAR_FSM_TITLE,Fictional Faith,虛構的信仰
CHAR_FSM_DESC,"[b]Core Concept:[/b]\nA fictional deity created by those refusing to face entropy. Believers think sending ""pure positive energy"" reverses entropy, but it actually accelerates the world's demise 10,000 times.","[b]核心設定：[/b]\n一個虛構的神祇，被拒絕面對宇宙「熵增」真相的人們創造出來。信徒相信只要向宇宙發射「純粹正能量」，運用「吸引力法則」就能逆轉熵增。然而真相是，這種被強行製造的正能量，正是「虛無熵增」最美味的催化劑，將世界自然消亡的速度瘋狂加速一萬倍。"
CHAR_BUTTON_CLOSE,CLOSE,關閉
# Intro Tabs,,
INTRO_TAB_WORLD_TITLE,World & Story,世界觀與故事
INTRO_TAB_WORLD_SEC1_TITLE,Core Concept,核心概念
